date,ret_base_pct,ret_rule_pct,size_mult
2019-10-04,-0.13011200,-0.13011200,1.0
2019-10-05,-0.14568800,-0.14568800,1.0
2019-10-06,0.00000000,0.00000000,1.0
2019-10-07,0.00000000,0.00000000,1.0
2019-10-08,0.00000000,0.00000000,1.0
2019-10-09,0.00000000,0.00000000,1.0
2019-10-10,0.00000000,0.00000000,1.0
2019-10-11,0.00000000,0.00000000,1.0
2019-10-12,-0.10000000,-0.10000000,1.0
2019-10-13,0.03000000,0.03000000,1.0
2019-10-14,0.03000000,0.03000000,1.0
2019-10-15,0.03000000,0.03000000,1.0
2019-10-16,0.03000000,0.03000000,1.0
2019-10-17,0.03000000,0.03000000,1.0
2019-10-18,0.03000000,0.03000000,1.0
2019-10-19,0.03000000,0.03000000,1.0
2019-10-20,0.03000000,0.03000000,1.0
2019-10-21,0.03000000,0.03000000,1.0
2019-10-22,0.03000000,0.03000000,1.0
2019-10-23,0.03000000,0.03000000,1.0
2019-10-24,0.01560500,0.01560500,1.0
2019-10-25,0.00529100,0.00529100,1.0
2019-10-26,0.05458300,0.05458300,1.0
2019-10-27,0.03856100,0.03856100,1.0
2019-10-28,0.16455900,0.16455900,1.0
2019-10-29,0.11713000,0.11713000,1.0
2019-10-30,0.10663600,0.10663600,1.0
2019-10-31,0.09282900,0.09282900,1.0
2019-11-01,0.07460100,0.07460100,1.0
2019-11-02,0.03000000,0.03000000,1.0
2019-11-03,0.03000000,0.03000000,1.0
2019-11-04,0.03007200,0.03007200,1.0
2019-11-05,0.03000000,0.03000000,1.0
2019-11-06,0.03387700,0.03387700,1.0
2019-11-07,0.06455900,0.06455900,1.0
2019-11-08,0.03250000,0.03250000,1.0
2019-11-09,0.03000000,0.03000000,1.0
2019-11-10,0.03000000,0.03000000,1.0
2019-11-11,0.03000000,0.03000000,1.0
2019-11-12,0.03000000,0.03000000,1.0
2019-11-13,-0.00208900,-0.00208900,1.0
2019-11-14,0.03000000,0.03000000,1.0
2019-11-15,0.03000000,0.03000000,1.0
2019-11-16,0.03000000,0.03000000,1.0
2019-11-17,0.03000000,0.03000000,1.0
2019-11-18,0.03000000,0.03000000,1.0
2019-11-19,0.03000000,0.03000000,1.0
2019-11-20,0.03000000,0.03000000,1.0
2019-11-21,0.03000000,0.03000000,1.0
2019-11-22,-0.00918900,-0.00918900,1.0
2019-11-23,-0.06000800,-0.06000800,1.0
2019-11-24,0.00978400,0.00978400,1.0
2019-11-25,-0.00413500,-0.00413500,1.0
2019-11-26,-0.09149800,-0.09149800,1.0
2019-11-27,-0.02384200,-0.02384200,1.0
2019-11-28,-0.11000000,-0.11000000,1.0
2019-11-29,0.00000000,0.00000000,1.0
