date,time,symbol,base,side,leverage,margin_mode,entry_price,exit_price,exit_price_type,roi_pct,pnl_usd,position_size,margin_usd,stop_loss,take_profits,liquidation_price,status,platform,image_type,trade_notes,message,image_file,confidence,discord_link
2026-05-06,23:47:41,ASTERUSDT,ASTER,,,,,,,,,,,,,,closed,Discord,discord_message_screenshot,Listed as a winning trade in the recap (symbol written as base ticker only).,"I have been trading for the past month in journals and here's my progress so far

**25** trades
**22** Wins
**3** BE 
**0** loss

Can track it all in the journal -> https://discord.com/channels/1042855255089623100/1496387902140321885/1501536396127633418

@Paladin Notify",001_2026-05-06_234741_Screenshot_20260507-014653.png,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501686917828448277
2026-05-06,23:47:41,AXSUSDT,AXS,,,,,,,,,,,,,,closed,Discord,discord_message_screenshot,Listed as a winning trade in the recap.,"I have been trading for the past month in journals and here's my progress so far

**25** trades
**22** Wins
**3** BE 
**0** loss

Can track it all in the journal -> https://discord.com/channels/1042855255089623100/1496387902140321885/1501536396127633418

@Paladin Notify",001_2026-05-06_234741_Screenshot_20260507-014653.png,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501686917828448277
2026-05-06,23:47:41,IRYSUSDT,IRYS,,,,,,,,,,,,,,closed,Discord,discord_message_screenshot,Listed as a winning trade in the recap.,"I have been trading for the past month in journals and here's my progress so far

**25** trades
**22** Wins
**3** BE 
**0** loss

Can track it all in the journal -> https://discord.com/channels/1042855255089623100/1496387902140321885/1501536396127633418

@Paladin Notify",001_2026-05-06_234741_Screenshot_20260507-014653.png,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501686917828448277
2026-05-06,23:47:41,BTCUSDT,BTC,,,,,,,,,,,,,,closed,Discord,discord_message_screenshot,Listed as a winning trade in the recap (BTC win 1 of 13 listed).,"I have been trading for the past month in journals and here's my progress so far

**25** trades
**22** Wins
**3** BE 
**0** loss

Can track it all in the journal -> https://discord.com/channels/1042855255089623100/1496387902140321885/1501536396127633418

@Paladin Notify",001_2026-05-06_234741_Screenshot_20260507-014653.png,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501686917828448277
2026-05-06,23:47:41,BTCUSDT,BTC,,,,,,,,,,,,,,closed,Discord,discord_message_screenshot,Listed as a winning trade in the recap (BTC win 2 of 13 listed).,"I have been trading for the past month in journals and here's my progress so far

**25** trades
**22** Wins
**3** BE 
**0** loss

Can track it all in the journal -> https://discord.com/channels/1042855255089623100/1496387902140321885/1501536396127633418

@Paladin Notify",001_2026-05-06_234741_Screenshot_20260507-014653.png,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501686917828448277
2026-05-06,23:47:41,BTCUSDT,BTC,,,,,,,,,,,,,,closed,Discord,discord_message_screenshot,Listed as a winning trade in the recap (BTC win 3 of 13 listed).,"I have been trading for the past month in journals and here's my progress so far

**25** trades
**22** Wins
**3** BE 
**0** loss

Can track it all in the journal -> https://discord.com/channels/1042855255089623100/1496387902140321885/1501536396127633418

@Paladin Notify",001_2026-05-06_234741_Screenshot_20260507-014653.png,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501686917828448277
2026-05-06,23:47:41,ETHUSDT,ETH,,,,,,,,,,,,,,closed,Discord,discord_message_screenshot,Listed as a winning trade in the recap (ETH win 1 of 3 listed).,"I have been trading for the past month in journals and here's my progress so far

**25** trades
**22** Wins
**3** BE 
**0** loss

Can track it all in the journal -> https://discord.com/channels/1042855255089623100/1496387902140321885/1501536396127633418

@Paladin Notify",001_2026-05-06_234741_Screenshot_20260507-014653.png,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501686917828448277
2026-05-06,23:47:41,HYPEUSDT,HYPE,,,,,,,,,,,,,,closed,Discord,discord_message_screenshot,Listed as a winning trade in the recap.,"I have been trading for the past month in journals and here's my progress so far

**25** trades
**22** Wins
**3** BE 
**0** loss

Can track it all in the journal -> https://discord.com/channels/1042855255089623100/1496387902140321885/1501536396127633418

@Paladin Notify",001_2026-05-06_234741_Screenshot_20260507-014653.png,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501686917828448277
2026-05-06,23:47:41,PEPEUSDT,PEPE,,,,,,,,,,,,,,closed,Discord,discord_message_screenshot,Listed as a winning trade in the recap.,"I have been trading for the past month in journals and here's my progress so far

**25** trades
**22** Wins
**3** BE 
**0** loss

Can track it all in the journal -> https://discord.com/channels/1042855255089623100/1496387902140321885/1501536396127633418

@Paladin Notify",001_2026-05-06_234741_Screenshot_20260507-014653.png,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501686917828448277
2026-05-06,23:47:41,ETHUSDT,ETH,,,,,,,,,,,,,,closed,Discord,discord_message_screenshot,Listed as a winning trade in the recap (ETH win 2 of 3 listed).,"I have been trading for the past month in journals and here's my progress so far

**25** trades
**22** Wins
**3** BE 
**0** loss

Can track it all in the journal -> https://discord.com/channels/1042855255089623100/1496387902140321885/1501536396127633418

@Paladin Notify",001_2026-05-06_234741_Screenshot_20260507-014653.png,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501686917828448277
