month,n,dvol_minus_fwd_rv30
2022-09,24,36.991699525716555
2022-10,31,-2.524827632014523
2022-11,30,29.70666409332679
2022-12,31,23.74906257847348
2023-01,31,6.27172706728333
2023-02,28,-9.088701997242516
2023-03,31,8.670531621500556
2023-04,30,17.214964794304073
2023-05,31,6.944877229055782
2023-06,30,10.230864078122424
2023-07,31,14.668272976661509
2023-08,31,0.4832102006682315
2023-09,30,7.476923892049087
2023-10,31,-0.8557934643686538
2023-11,30,9.47601892262448
2023-12,31,5.73064563389931
2024-01,31,13.612091252690298
2024-02,29,-15.230849608982883
2024-03,31,9.988374628549254
2024-04,30,14.015295791852724
2024-05,31,16.904398114834606
2024-06,30,5.946470550680625
2024-07,31,-9.275887089801236
2024-08,31,4.119563237169436
2024-09,30,15.791915866126084
2024-10,31,4.703398787175423
2024-11,30,9.15567402992616
2024-12,31,14.833862224695885
2025-01,31,20.5208338848896
2025-02,28,-14.604117882738352
2025-03,31,-1.6658764287679921
2025-04,30,10.90164633090008
2025-05,31,12.161559183848782
2025-06,30,11.52955430359761
2025-07,31,10.26640676941535
2025-08,31,5.982900312231247
2025-09,30,-2.789039119868704
2025-10,31,0.7101710918687865
2025-11,30,4.827868058417718
2025-12,31,16.737473646894664
2026-01,31,-33.36458581694984
2026-02,28,-1.8581693708336293
2026-03,31,12.974582729889775
2026-04,30,13.742660034205691
2026-05,31,-2.1179735295266946
2026-06,30,10.37858070313487
2026-07,31,4.9191271387281805
2026-08,8,-10.128983755014668
