exit_reason,exit_price,exit_time_utc,r,mfe_r,mae_r,mfe_time_utc,mae_time_utc,position_id,symbol,side,is_btc,has_tp,his_outcome,his_r,his_exit_type,confidence_rank
target,3.669,2026-05-08 16:30:00+00:00,1.185,2.0561797752808926,-0.47191011235955,2026-05-09 00:45:00+00:00,2026-05-07 15:15:00+00:00,UNIUSDT-2026-05-07-long,UNIUSDT,long,False,True,win,1.36,take_profit,3
stop,2292.0,2026-05-07 14:30:00+00:00,-1.0,0.05874999999999935,-1.5101785714285743,2026-05-07 00:00:00+00:00,2026-05-08 03:00:00+00:00,ETHUSDT-2026-05-07-long,ETHUSDT,long,False,True,loss,,stop_loss,2
stop,79600.0,2026-05-07 17:15:00+00:00,-1.0,-0.014736842105263158,-1.2434736842105294,2026-05-07 08:15:00+00:00,2026-05-08 03:00:00+00:00,BTCUSDT-2026-05-07-long,BTCUSDT,long,True,True,loss,,stop_loss,2
timeout,1.4747,2026-05-10 12:30:00+00:00,0.003,0.43531468531468653,-0.4659090909090907,2026-05-07 20:15:00+00:00,2026-05-08 13:30:00+00:00,ZROUSDT-2026-05-07-long,ZROUSDT,long,False,True,win,0.0,breakeven,3
target,80500.0,2026-05-09 03:15:00+00:00,0.582,1.84720025308448,-0.4958873774122136,2026-05-10 22:30:00+00:00,2026-05-08 03:00:00+00:00,BTCUSDT-2026-05-08-long,BTCUSDT,long,True,True,win,0.456,manual_close,3
timeout,0.1609,2026-05-11 03:30:00+00:00,0.137,0.6312464101091324,-0.2188397472716833,2026-05-09 03:15:00+00:00,2026-05-08 07:00:00+00:00,AVNTUSDT-2026-05-08-long,AVNTUSDT,long,False,True,win,,unknown,2
timeout,0.3525,2026-05-11 16:45:00+00:00,-0.045,0.47191011235955116,-0.15730337078651704,2026-05-09 01:30:00+00:00,2026-05-11 14:45:00+00:00,SNXUSDT-2026-05-08-long,SNXUSDT,long,False,True,win,0.182,manual_close,3
timeout,0.03713,2026-05-12 08:45:00+00:00,0.553,0.8322440087145956,-0.18954248366013116,2026-05-12 04:15:00+00:00,2026-05-10 12:30:00+00:00,STABLEUSDT-2026-05-09-long,STABLEUSDT,long,False,True,win,1.179,take_profit,2
target,2350.0,2026-05-10 15:45:00+00:00,0.74,1.3560796443069798,-0.6441136671177295,2026-05-10 23:00:00+00:00,2026-05-12 08:15:00+00:00,ETHUSDT-2026-05-09-long,ETHUSDT,long,False,True,win,0.557,manual_close,3
target,1.55,2026-05-11 08:45:00+00:00,0.679,0.7341417910447763,-0.7042910447761208,2026-05-11 10:00:00+00:00,2026-05-13 21:15:00+00:00,ZROUSDT-2026-05-11-long,ZROUSDT,long,False,True,win,0.639,take_profit,3
