exit_reason,exit_price,exit_time_utc,r,mfe_r,mae_r,mfe_time_utc,mae_time_utc,position_id,symbol,side,is_btc,has_tp,his_outcome,his_r,his_exit_type,confidence_rank
target,3.669,2026-05-08 16:30:00+00:00,1.126,1.972677595628411,-0.48633879781420675,2026-05-09 00:45:00+00:00,2026-05-07 15:15:00+00:00,UNIUSDT-2026-05-07-long,UNIUSDT,long,False,True,win,1.36,take_profit,3
stop,2292.0,2026-05-07 14:30:00+00:00,-1.0,0.06407035175879713,-1.51274228284279,2026-05-07 00:00:00+00:00,2026-05-08 03:00:00+00:00,ETHUSDT-2026-05-07-long,ETHUSDT,long,False,True,loss,,stop_loss,2
stop,79600.0,2026-05-07 17:15:00+00:00,-1.0,0.002087682672230698,-1.247631283121891,2026-05-07 08:15:00+00:00,2026-05-08 03:00:00+00:00,BTCUSDT-2026-05-07-long,BTCUSDT,long,True,True,loss,,stop_loss,2
timeout,1.4747,2026-05-10 12:30:00+00:00,-0.162,0.20029239766081966,-0.5533625730994151,2026-05-07 20:15:00+00:00,2026-05-08 13:30:00+00:00,ZROUSDT-2026-05-07-long,ZROUSDT,long,False,True,win,0.0,breakeven,3
target,80500.0,2026-05-09 03:15:00+00:00,0.556,1.8002489110142996,-0.5042003733665282,2026-05-10 22:30:00+00:00,2026-05-08 03:00:00+00:00,BTCUSDT-2026-05-08-long,BTCUSDT,long,True,True,win,0.456,manual_close,3
timeout,0.1609,2026-05-11 03:30:00+00:00,0.145,0.6416184971098261,-0.2138728323699426,2026-05-09 03:15:00+00:00,2026-05-08 07:00:00+00:00,AVNTUSDT-2026-05-08-long,AVNTUSDT,long,False,True,win,,unknown,2
timeout,0.3525,2026-05-11 16:45:00+00:00,-0.03,0.4954337899543378,-0.14383561643835677,2026-05-09 01:30:00+00:00,2026-05-11 14:45:00+00:00,SNXUSDT-2026-05-08-long,SNXUSDT,long,False,True,win,0.182,manual_close,3
timeout,0.03713,2026-05-12 08:45:00+00:00,0.537,0.8125000000000009,-0.198275862068965,2026-05-12 04:15:00+00:00,2026-05-10 12:30:00+00:00,STABLEUSDT-2026-05-09-long,STABLEUSDT,long,False,True,win,1.179,take_profit,2
target,2350.0,2026-05-10 15:45:00+00:00,0.74,1.3569909108489657,-0.643976020112167,2026-05-10 23:00:00+00:00,2026-05-12 08:15:00+00:00,ETHUSDT-2026-05-09-long,ETHUSDT,long,False,True,win,0.557,manual_close,3
target,1.55,2026-05-11 08:45:00+00:00,0.558,0.60952380952381,-0.7255411255411268,2026-05-11 10:00:00+00:00,2026-05-13 21:15:00+00:00,ZROUSDT-2026-05-11-long,ZROUSDT,long,False,True,win,0.639,take_profit,3
target,80000.0,2026-05-12 16:45:00+00:00,1.805,2.793866728153082,-0.017984782107454175,2026-05-13 16:00:00+00:00,2026-05-10 23:45:00+00:00,BTCUSDT-2026-05-11-short,BTCUSDT,short,True,True,win,0.622,manual_close,3
target,81500.0,2026-05-11 16:00:00+00:00,0.456,0.8921732799417504,-1.5724062613760446,2026-05-11 18:30:00+00:00,2026-05-13 16:00:00+00:00,BTCUSDT-2026-05-11-long,BTCUSDT,long,True,True,win,0.625,manual_close,3
stop,79500.0,2026-05-13 14:00:00+00:00,-1.0,0.6333333333333333,-1.513856209150325,2026-05-14 17:00:00+00:00,2026-05-13 16:00:00+00:00,BTCUSDT-2026-05-12-long,BTCUSDT,long,True,False,loss,,stop_loss,3
target,1.5,2026-05-14 17:45:00+00:00,0.996,1.97005988023952,-0.792415169660675,2026-05-14 19:00:00+00:00,2026-05-13 15:45:00+00:00,XRPUSDT-2026-05-12-long,XRPUSDT,long,False,True,win,0.068,manual_close,3
stop,2245.0,2026-05-13 15:45:00+00:00,-1.0,0.3775492108529883,-1.7350594076963985,2026-05-13 09:30:00+00:00,2026-05-15 14:00:00+00:00,ETHUSDT-2026-05-13-long,ETHUSDT,long,False,True,unknown,,unknown,1
stop,93.5,2026-05-13 12:30:00+00:00,-1.0,0.2227722772277246,-3.4900990099009954,2026-05-13 04:30:00+00:00,2026-05-15 14:00:00+00:00,SOLUSDT-2026-05-13-long,SOLUSDT,long,False,True,win,0.084,manual_close,3
stop,77900.0,2026-05-16 09:15:00+00:00,-1.0,2.0421552619860606,-1.2213151254267467,2026-05-14 17:00:00+00:00,2026-05-16 10:15:00+00:00,BTCUSDT-2026-05-13-long,BTCUSDT,long,True,True,win,1.163,manual_close,3
stop,87.5,2026-05-16 07:00:00+00:00,-1.0,0.6961325966850809,-1.569060773480663,2026-05-14 16:00:00+00:00,2026-05-16 10:15:00+00:00,SOLUSDT-2026-05-14-long,SOLUSDT,long,False,False,win,0.115,manual_close,3
timeout,6.461,2026-05-17 07:30:00+00:00,-0.731,0.609348914858097,-0.9716193656093484,2026-05-14 17:45:00+00:00,2026-05-16 10:15:00+00:00,ENSUSDT-2026-05-14-long,ENSUSDT,long,False,True,win,0.392,manual_close,3
stop,79500.0,2026-05-15 13:30:00+00:00,-1.0,0.2557267805081197,-1.9882340691378562,2026-05-14 18:15:00+00:00,2026-05-16 10:15:00+00:00,BTCUSDT-2026-05-14-long,BTCUSDT,long,True,True,loss,,stop_loss,3
stop,0.089,2026-05-17 23:30:00+00:00,-1.0,0.1336717428087985,-1.1895093062605746,2026-05-15 00:30:00+00:00,2026-05-17 23:30:00+00:00,HBARUSDT-2026-05-15-long,HBARUSDT,long,False,True,loss,,stop_loss,2
stop,2145.0,2026-05-17 23:30:00+00:00,-1.0,0.9138181818181857,-3.5723636363636286,2026-05-17 10:15:00+00:00,2026-05-18 18:15:00+00:00,ETHUSDT-2026-05-16-long,ETHUSDT,long,False,False,breakeven,,breakeven,2
stop,77700.0,2026-05-16 10:15:00+00:00,-1.0,1.4547003692132594,-5.787844362396975,2026-05-17 10:15:00+00:00,2026-05-18 15:30:00+00:00,BTCUSDT-2026-05-16-long,BTCUSDT,long,True,False,unknown,,unknown,1
stop,76900.0,2026-05-17 23:30:00+00:00,-1.0,0.23657032468980616,-1.658146964856235,2026-05-17 10:15:00+00:00,2026-05-18 15:30:00+00:00,BTCUSDT-2026-05-16-long-2,BTCUSDT,long,True,False,unknown,,unknown,1
timeout,77929.1,2026-05-21 00:45:00+00:00,0.424,0.492932364701247,-0.6541082390043373,2026-05-21 00:45:00+00:00,2026-05-18 15:30:00+00:00,BTCUSDT-2026-05-18-long,BTCUSDT,long,True,False,win,0.86,manual_close,3
