time_utc,time_ms,symbol,observed_price,field,event_type,msg,note
2026-05-06T23:34:43Z,1778110483759,UNIUSDT,3.46,price_ref,call,5.0,price he referenced as live/current
2026-05-06T23:34:43Z,1778110483759,UNIUSDT,3.46,entry_price,call,5.0,stated entry
2026-05-06T23:35:46Z,1778110546105,ETHUSDT,2348.0,price_ref,call,6.0,price he referenced as live/current
2026-05-06T23:35:46Z,1778110546105,ETHUSDT,2348.0,entry_price,call,6.0,stated entry
2026-05-07T08:06:57Z,1778141217506,BTCUSDT,81500.0,entry_price,call,8.0,stated entry
2026-05-07T12:32:55Z,1778157175797,ZROUSDT,1.48,entry_price,call,11.0,stated entry
2026-05-07T12:32:55Z,1778157175797,ZROUSDT,1.48,price_ref,call,11.0,price he referenced as live/current
2026-05-07T12:35:12Z,1778157312649,ZROUSDT,1.486,entry_price,entry,12.0,stated entry
2026-05-07T12:35:12Z,1778157312649,ZROUSDT,1.486,price_ref,entry,12.0,price he referenced as live/current
2026-05-07T22:40:42Z,1778193642827,BTCUSDT,79700.0,entry_price,call,17.0,stated entry
2026-05-07T22:40:42Z,1778193642827,BTCUSDT,79700.0,price_ref,call,17.0,price he referenced as live/current
2026-05-08T03:24:00Z,1778210640166,BTCUSDT,79590.0,entry_price,dca,19.0,stated entry
2026-05-08T03:24:00Z,1778210640166,BTCUSDT,79590.0,price_ref,partial_close,19.0,price he referenced as live/current
2026-05-08T03:43:06Z,1778211786564,AVNTUSDT,0.158,price_ref,call,22.0,price he referenced as live/current
2026-05-08T03:43:06Z,1778211786564,AVNTUSDT,0.158,entry_price,call,22.0,stated entry
2026-05-08T10:48:41Z,1778237321639,BTCUSDT,79564.8,entry_price,partial_close,25.0,stated entry
2026-05-08T15:44:20Z,1778255060823,UNIUSDT,3.46,entry_price,sl_move,26.0,stated entry
2026-05-08T15:47:55Z,1778255275357,KERNELUSDT,0.064,entry_price,call,27.0,stated entry
2026-05-08T15:48:07Z,1778255287983,KERNELUSDT,0.064,price_ref,update,28.0,price he referenced as live/current
2026-05-08T16:41:13Z,1778258473533,UNIUSDT,3.7,price_ref,close,29.0,price he referenced as live/current
2026-05-08T16:41:13Z,1778258473533,UNIUSDT,4.0,price_ref,view,29.0,price he referenced as live/current
2026-05-08T16:49:28Z,1778258968177,SNXUSDT,0.354,price_ref,call,31.0,price he referenced as live/current
2026-05-08T16:49:28Z,1778258968177,SNXUSDT,0.354,entry_price,call,31.0,stated entry
2026-05-08T18:22:35Z,1778264555255,BTCUSDT,79500.0,entry_price,plan,33.0,stated entry
2026-05-09T01:45:42Z,1778291142281,KERNELUSDT,0.06615,price_ref,tp_hit,35.0,price he referenced as live/current
2026-05-09T01:45:42Z,1778291142281,KERNELUSDT,0.06615,card_mark_price,screenshot,,mark price on an exchange share card — the tightest timestamp/price pair available
2026-05-09T01:45:42Z,1778291142281,KERNELUSDT,0.06454,entry_price,tp_hit,35.0,stated entry
2026-05-09T01:48:32Z,1778291312851,ZROUSDT,1.4849,card_mark_price,screenshot,,mark price on an exchange share card — the tightest timestamp/price pair available
2026-05-09T01:48:32Z,1778291312851,AVNTUSDT,0.16787,card_mark_price,screenshot,,mark price on an exchange share card — the tightest timestamp/price pair available
2026-05-09T01:48:32Z,1778291312851,SNXUSDT,0.3727,card_mark_price,screenshot,,mark price on an exchange share card — the tightest timestamp/price pair available
2026-05-09T01:48:32Z,1778291312851,BTCUSDT,80333.9,card_mark_price,screenshot,,mark price on an exchange share card — the tightest timestamp/price pair available
2026-05-09T01:48:32Z,1778291312851,BTCUSDT,80333.9,price_ref,update,36.0,price he referenced as live/current
2026-05-09T01:48:32Z,1778291312851,AVNTUSDT,0.16787,price_ref,update,36.0,price he referenced as live/current
2026-05-09T01:48:32Z,1778291312851,AVNTUSDT,0.15851,entry_price,update,36.0,stated entry
2026-05-09T01:48:32Z,1778291312851,KERNELUSDT,0.06615,price_ref,update,36.0,price he referenced as live/current
2026-05-09T01:48:32Z,1778291312851,KERNELUSDT,0.06454,entry_price,update,36.0,stated entry
2026-05-09T01:48:32Z,1778291312851,SNXUSDT,0.3545,entry_price,update,36.0,stated entry
2026-05-09T01:48:32Z,1778291312851,SNXUSDT,0.3727,price_ref,update,36.0,price he referenced as live/current
2026-05-09T01:48:32Z,1778291312851,BTCUSDT,79764.4,entry_price,update,36.0,stated entry
2026-05-09T01:48:32Z,1778291312851,KERNELUSDT,0.06615,card_mark_price,screenshot,,mark price on an exchange share card — the tightest timestamp/price pair available
2026-05-09T01:48:32Z,1778291312851,ZROUSDT,1.4744,entry_price,update,36.0,stated entry
2026-05-09T01:48:32Z,1778291312851,UNIUSDT,3.528,price_ref,update,36.0,price he referenced as live/current
2026-05-09T01:48:32Z,1778291312851,ZROUSDT,1.4849,price_ref,update,36.0,price he referenced as live/current
2026-05-09T01:48:32Z,1778291312851,UNIUSDT,3.458,entry_price,update,36.0,stated entry
2026-05-09T01:52:10Z,1778291530882,SYRUPUSDT,0.25328,entry_price,close,38.0,stated entry
2026-05-09T01:52:10Z,1778291530882,SYRUPUSDT,0.26013,price_ref,close,38.0,price he referenced as live/current
2026-05-09T03:06:56Z,1778296016774,BTCUSDT,79764.4,entry_price,close,40.0,stated entry
2026-05-09T03:06:56Z,1778296016774,BTCUSDT,80400.0,price_ref,close,40.0,price he referenced as live/current
2026-05-09T03:54:44Z,1778298884699,BTCUSDT,79500.0,entry_price,update,41.0,stated entry
2026-05-09T04:10:34Z,1778299834450,BTCUSDT,80300.0,entry_price,plan,42.0,stated entry
2026-05-09T06:53:50Z,1778309630576,BTCUSDT,79000.0,entry_price,plan,43.0,stated entry
2026-05-09T08:51:05Z,1778316665057,STABLEUSDT,0.0346,price_ref,call,44.0,price he referenced as live/current
2026-05-09T08:51:05Z,1778316665057,STABLEUSDT,0.0346,entry_price,call,44.0,stated entry
2026-05-09T10:58:20Z,1778324300982,ETHUSDT,2310.0,price_ref,call,45.0,price he referenced as live/current
2026-05-09T10:58:20Z,1778324300982,ETHUSDT,2310.0,entry_price,call,45.0,stated entry
2026-05-10T15:45:44Z,1778427944212,ETHUSDT,2340.53,price_ref,close,49.0,price he referenced as live/current
2026-05-10T15:45:44Z,1778427944212,ETHUSDT,2311.73,entry_price,close,49.0,stated entry
2026-05-10T15:47:56Z,1778428076921,ETHUSDT,2350.0,price_ref,tp_hit,50.0,price he referenced as live/current
2026-05-10T18:01:23Z,1778436083161,AVNTUSDT,0.15851,entry_price,partial_close,52.0,stated entry
2026-05-10T18:01:23Z,1778436083161,AVNTUSDT,0.16709,card_mark_price,screenshot,,mark price on an exchange share card — the tightest timestamp/price pair available
2026-05-10T18:01:23Z,1778436083161,AVNTUSDT,0.16709,price_ref,partial_close,52.0,price he referenced as live/current
2026-05-10T19:10:30Z,1778440230676,ZROUSDT,1.4744,entry_price,partial_close,54.0,stated entry
2026-05-10T19:10:30Z,1778440230676,ZROUSDT,1.53,card_mark_price,screenshot,,mark price on an exchange share card — the tightest timestamp/price pair available
2026-05-10T19:10:30Z,1778440230676,ZROUSDT,1.53,price_ref,partial_close,54.0,price he referenced as live/current
2026-05-10T20:33:31Z,1778445211407,SNXUSDT,0.3545,entry_price,close,56.0,stated entry
2026-05-10T20:33:31Z,1778445211407,SNXUSDT,0.3626,card_mark_price,screenshot,,mark price on an exchange share card — the tightest timestamp/price pair available
2026-05-10T20:33:31Z,1778445211407,SNXUSDT,0.3626,price_ref,close,56.0,price he referenced as live/current
2026-05-10T21:40:45Z,1778449245500,ZROUSDT,1.486,entry_price,call,57.0,stated entry
2026-05-10T23:30:48Z,1778455848098,BTCUSDT,82300.0,entry_price,call,59.0,stated entry
2026-05-10T23:30:48Z,1778455848098,BTCUSDT,82300.0,price_ref,call,59.0,price he referenced as live/current
2026-05-11T00:58:37Z,1778461117677,BTCUSDT,82202.8,entry_price,close,61.0,stated entry
2026-05-11T00:58:37Z,1778461117677,BTCUSDT,81302.9,price_ref,close,61.0,price he referenced as live/current
